,Interest Score,HST,SPY,XTN,sentiment,Principal Component 1,S&P 500 Daily Movement
2021-01-04,87,-0.03280932960737626,-0.013613983822124975,-0.025220722747471336,negative,12175640.212961115,neg
2021-01-05,87,-0.014134262519924334,0.006887328746690624,0.01638636473550603,negative,12411005.712011162,pos
2021-01-06,87,0.05734768470774676,0.005978513184986323,0.02955740339903512,neutral,12666788.481049903,pos
2021-01-07,87,-0.00474574202198097,0.014857498305214323,0.009477950317133388,negative,12945281.869953314,pos
2021-01-08,87,0.0027247929851148545,0.005697714659280706,-0.001632808826718679,neutral,13240661.025039049,pos
2021-01-11,90,-0.02377719939677514,-0.006740825836411779,-0.0035437116873023866,neutral,13929257.58518346,neg
2021-01-12,90,0.01530969163401985,0.00021121912844268564,0.01860211460809369,neutral,14156334.626927782,pos
2021-01-13,90,0.01096640477990185,0.0026929787492038226,-0.007654084671422812,neutral,14386685.550238475,pos
2021-01-14,90,0.01762713416148043,-0.003501980199372312,0.019756414808210554,neutral,14622512.846986601,neg
2021-01-15,90,-0.021319163465620683,-0.007292657904037547,-0.02016990791069806,neutral,14865360.727299793,neg
2021-01-19,85,0.004765190639760997,0.007851960589843054,0.004604604335695095,neutral,15564627.628715154,pos
2021-01-20,85,0.012872600097357578,0.013838692292137411,0.01860336003964247,neutral,15747972.659042854,pos
2021-01-21,85,-0.020735750494810246,0.0009116558716901757,-0.01363153537026196,negative,15941928.603938667,pos
2021-01-22,85,-0.015027340291637992,-0.0035394164744094736,-0.004025163387586406,neutral,16132703.698635258,neg
2021-01-25,82,-0.036754488915883954,0.003943819855746211,-0.004580411584386601,neutral,16586158.760580705,pos
2021-01-26,82,-0.02807777780295273,-0.001560930514972858,-0.009744230973751988,neutral,16733802.696682597,neg
2021-01-27,82,0.007407435664424256,-0.024440461382450485,-0.031023598467572966,neutral,16887840.65661813,neg
2021-01-28,82,0.047794088257226086,0.008600200820512827,0.009873017393189798,neutral,17056769.955221467,pos
2021-01-29,82,-0.04912279363264116,-0.02001958917681823,-0.024441341302996245,neutral,17223403.060282074,neg
2021-02-01,76,0.006642077588266737,0.01664550906637663,0.01603439901286441,neutral,17612854.521722406,pos
2021-02-02,76,0.04032252369625411,0.014140224467191542,0.01662674770860173,neutral,17728079.7105441,pos
2021-02-03,76,0.0,0.0007863145594166898,0.0083159869914331,neutral,17849851.406476848,pos
2021-02-04,76,-0.0042282922985655835,0.011365709751263164,0.02694156817144555,neutral,17973911.343619447,pos
2021-02-05,76,0.004953976946729055,0.003935858007879212,0.003480151779100993,neutral,18108432.156469345,pos
2021-02-08,72,0.007042280479784058,0.0072219400383219945,0.02040814665045465,positive,18392584.465742305,pos
2021-02-09,72,-0.030069951009817686,-0.0006658210010571652,0.006928088618259887,neutral,18487911.92773556,neg
2021-02-10,72,0.015861591120693852,-0.00043565260149747154,0.006620824929411073,neutral,18583199.409566846,neg
2021-02-11,72,0.03619589945768498,0.0016150658954552366,-0.010833169426967881,neutral,18689059.937263027,pos
2021-02-12,72,0.020547892412475788,0.004939784585931806,0.013689740463306288,neutral,18788725.391855817,pos
2021-02-16,64,0.047651010491569945,-0.0008660015352057737,0.006045031777532239,neutral,19057695.68526831,neg
2021-02-17,64,0.0032030872411630273,0.00022948472666350916,0.0014062977324837966,neutral,19127906.749442942,pos
2021-02-18,64,0.023627129172325123,-0.004256003887434856,0.0010213434084584971,neutral,19197845.663319573,neg
2021-02-19,64,0.044291893578279895,-0.0017659767589335296,0.027292428130347934,neutral,19277211.664540526,neg
2021-02-22,70,-0.0029868122905719607,-0.007691716045917785,0.011669705479808945,neutral,19462125.602330446,neg
2021-02-23,70,-0.0059916344080196415,0.0012143793044092632,0.006626591357016487,negative,19534514.948539812,pos
2021-02-24,70,0.031946997092874296,0.011019326486895187,0.016335535623869246,neutral,19609316.847683765,pos
2021-02-25,70,-0.044392534557601504,-0.024095777385022776,-0.023629616838220513,neutral,19686863.905051284,neg
2021-02-26,70,0.014058651201443118,-0.005152620223082494,-0.0012284824600317101,neutral,19764233.171596885,neg
